#EMPLOYEName                                                                            EMAIL                    PHONE_NUMBER        HIRE_DATE          JOB_ID    SALARY    COMMMANAGER_DEPARTTOT_SAL     COMMISSION  
     120Matthew, Weiss                                                                  MWEISS                   650.123.1234        07/18/2004 00:00:00ST_MAN       8000.00*        100    50        8000           0
     121Adam, Fripp                                                                     AFRIPP                   650.123.2234        04/10/2005 00:00:00ST_MAN       8200.00*        100    50        8200           0
     122Payam, Kaufling                                                                 PKAUFLIN                 650.123.3234        05/01/2003 00:00:00ST_MAN       7900.00*        100    50        7900           0
     123Shanta, Vollman                                                                 SVOLLMAN                 650.123.4234        10/10/2005 00:00:00ST_MAN       6500.00*        100    50        6500           0
     124Kevin, Mourgos                                                                  KMOURGOS                 650.123.5234        11/16/2007 00:00:00ST_MAN       5800.00*        100    50        5800           0
     125Julia, Nayer                                                                    JNAYER                   650.124.1214        07/16/2005 00:00:00ST_CLERK     3200.00*        120    50        3200           0
     126Irene, Mikkilineni                                                              IMIKKILI                 650.124.1224        09/28/2006 00:00:00ST_CLERK     2700.00*        120    50        2700           0
     127James, Landry                                                                   JLANDRY                  650.124.1334        01/14/2007 00:00:00ST_CLERK     2400.00*        120    50        2400           0
     128Steven, Markle                                                                  SMARKLE                  650.124.1434        03/08/2008 00:00:00ST_CLERK     2200.00*        120    50        2200           0
     129Laura, Bissot                                                                   LBISSOT                  650.124.5234        08/20/2005 00:00:00ST_CLERK     3300.00*        121    50        3300           0
     130Mozhe, Atkinson                                                                 MATKINSO                 650.124.6234        10/30/2005 00:00:00ST_CLERK     2800.00*        121    50        2800           0
     131James, Marlow                                                                   JAMRLOW                  650.124.7234        02/16/2005 00:00:00ST_CLERK     2500.00*        121    50        2500           0
     132TJ, Olson                                                                       TJOLSON                  650.124.8234        04/10/2007 00:00:00ST_CLERK     2100.00*        121    50        2100           0
     133Jason, Mallin                                                                   JMALLIN                  650.127.1934        06/14/2004 00:00:00ST_CLERK     3300.00*        122    50        3300           0
     134Michael, Rogers                                                                 MROGERS                  650.127.1834        08/26/2006 00:00:00ST_CLERK     2900.00*        122    50        2900           0
     135Ki, Gee                                                                         KGEE                     650.127.1734        12/12/2007 00:00:00ST_CLERK     2400.00*        122    50        2400           0
     136Hazel, Philtanker                                                               HPHILTAN                 650.127.1634        02/06/2008 00:00:00ST_CLERK     2200.00*        122    50        2200           0
     137Renske, Ladwig                                                                  RLADWIG                  650.121.1234        07/14/2003 00:00:00ST_CLERK     3600.00*        123    50        3600           0
     138Stephen, Stiles                                                                 SSTILES                  650.121.2034        10/26/2005 00:00:00ST_CLERK     3200.00*        123    50        3200           0
     139John, Seo                                                                       JSEO                     650.121.2019        02/12/2006 00:00:00ST_CLERK     2700.00*        123    50        2700           0
     140Joshua, Patel                                                                   JPATEL                   650.121.1834        04/06/2006 00:00:00ST_CLERK     2500.00*        123    50        2500           0
     141Trenna, Rajs                                                                    TRAJS                    650.121.8009        10/17/2003 00:00:00ST_CLERK     3500.00*        124    50        3500           0
     142Curtis, Davies                                                                  CDAVIES                  650.121.2994        01/29/2005 00:00:00ST_CLERK     3100.00*        124    50        3100           0
     143Randall, Matos                                                                  RMATOS                   650.121.2874        03/15/2006 00:00:00ST_CLERK     2600.00*        124    50        2600           0
     144Peter, Vargas                                                                   PVARGAS                  650.121.2004        07/09/2006 00:00:00ST_CLERK     2500.00*        124    50        2500           0
     145John, Russell                                                                   JRUSSEL                  011.44.1344.429268  10/01/2004 00:00:00SA_MAN      14000.000.40     100    80       14040          40
     146Karen, Partners                                                                 KPARTNER                 011.44.1344.467268  01/05/2005 00:00:00SA_MAN      13500.000.30     100    80       13530          30
     147Alberto, Errazuriz                                                              AERRAZUR                 011.44.1344.429278  03/10/2005 00:00:00SA_MAN      12000.000.30     100    80       12030          30
     148Gerald, Cambrault                                                               GCAMBRAU                 011.44.1344.619268  10/15/2007 00:00:00SA_MAN      11000.000.30     100    80       11030          30
     149Eleni, Zlotkey                                                                  EZLOTKEY                 011.44.1344.429018  01/29/2008 00:00:00SA_MAN      10500.000.20     100    80       10520          20
     150Peter, Tucker                                                                   PTUCKER                  011.44.1344.129268  01/30/2005 00:00:00SA_REP      10000.000.30     145    80       10030          30
     151David, Bernstein                                                                DBERNSTE                 011.44.1344.345268  03/24/2005 00:00:00SA_REP       9500.000.25     145    80        9525          25
     152Peter, Hall                                                                     PHALL                    011.44.1344.478968  08/20/2005 00:00:00SA_REP       9000.000.25     145    80        9025          25
     153Christopher, Olsen                                                              COLSEN                   011.44.1344.498718  03/30/2006 00:00:00SA_REP       8000.000.20     145    80        8020          20
     154Nanette, Cambrault                                                              NCAMBRAU                 011.44.1344.987668  12/09/2006 00:00:00SA_REP       7500.000.20     145    80        7520          20
     155Oliver, Tuvault                                                                 OTUVAULT                 011.44.1344.486508  11/23/2007 00:00:00SA_REP       7000.000.15     145    80        7015          15
     156Janette, King                                                                   JKING                    011.44.1345.429268  01/30/2004 00:00:00SA_REP      10000.000.35     146    80       10035          35
     157Patrick, Sully                                                                  PSULLY                   011.44.1345.929268  03/04/2004 00:00:00SA_REP       9500.000.35     146    80        9535          35
     158Allan, McEwen                                                                   AMCEWEN                  011.44.1345.829268  08/01/2004 00:00:00SA_REP       9000.000.35     146    80        9035          35
     159Lindsey, Smith                                                                  LSMITH                   011.44.1345.729268  03/10/2005 00:00:00SA_REP       8000.000.30     146    80        8030          30
     160Louise, Doran                                                                   LDORAN                   011.44.1345.629268  12/15/2005 00:00:00SA_REP       7500.000.30     146    80        7530          30
     161Sarath, Sewall                                                                  SSEWALL                  011.44.1345.529268  11/03/2006 00:00:00SA_REP       7000.000.25     146    80        7025          25
     162Clara, Vishney                                                                  CVISHNEY                 011.44.1346.129268  11/11/2005 00:00:00SA_REP      10500.000.25     147    80       10525          25
     163Danielle, Greene                                                                DGREENE                  011.44.1346.229268  03/19/2007 00:00:00SA_REP       9500.000.15     147    80        9515          15
     164Mattea, Marvins                                                                 MMARVINS                 011.44.1346.329268  01/24/2008 00:00:00SA_REP       7200.000.10     147    80        7210          10
     165David, Lee                                                                      DLEE                     011.44.1346.529268  02/23/2008 00:00:00SA_REP       6800.000.10     147    80        6810          10
     166Sundar, Ande                                                                    SANDE                    011.44.1346.629268  03/24/2008 00:00:00SA_REP       6400.000.10     147    80        6410          10
     167Amit, Banda                                                                     ABANDA                   011.44.1346.729268  04/21/2008 00:00:00SA_REP       6200.000.10     147    80        6210          10
     168Lisa, Ozer                                                                      LOZER                    011.44.1343.929268  03/11/2005 00:00:00SA_REP      11500.000.25     148    80       11525          25
     169Harrison, Bloom                                                                 HBLOOM                   011.44.1343.829268  03/23/2006 00:00:00SA_REP      10000.000.20     148    80       10020          20
     170Tayler, Fox                                                                     TFOX                     011.44.1343.729268  01/24/2006 00:00:00SA_REP       9600.000.20     148    80        9620          20
     171William, Smith                                                                  WSMITH                   011.44.1343.629268  02/23/2007 00:00:00SA_REP       7400.000.15     148    80        7415          15
     172Elizabeth, Bates                                                                EBATES                   011.44.1343.529268  03/24/2007 00:00:00SA_REP       7300.000.15     148    80        7315          15
     173Sundita, Kumar                                                                  SKUMAR                   011.44.1343.329268  04/21/2008 00:00:00SA_REP       6100.000.10     148    80        6110          10
     174Ellen, Abel                                                                     EABEL                    011.44.1644.429267  05/11/2004 00:00:00SA_REP      11000.000.30     149    80       11030          30
     175Alyssa, Hutton                                                                  AHUTTON                  011.44.1644.429266  03/19/2005 00:00:00SA_REP       8800.000.25     149    80        8825          25
     176Jonathon, Taylor                                                                JTAYLOR                  011.44.1644.429265  03/24/2006 00:00:00SA_REP       8600.000.20     149    80        8620          20
     177Jack, Livingston                                                                JLIVINGS                 011.44.1644.429264  04/23/2006 00:00:00SA_REP       8400.000.20     149    80        8420          20
     178Kimberely, Grant                                                                KGRANT                   011.44.1644.429263  05/24/2007 00:00:00SA_REP       7000.000.15     149*             7015          15
     179Charles, Johnson                                                                CJOHNSON                 011.44.1644.429262  01/04/2008 00:00:00SA_REP       6200.000.10     149    80        6210          10
     180Winston, Taylor                                                                 WTAYLOR                  650.507.9876        01/24/2006 00:00:00SH_CLERK     3200.00*        120    50        3200           0
     181Jean, Fleaur                                                                    JFLEAUR                  650.507.9877        02/23/2006 00:00:00SH_CLERK     3100.00*        120    50        3100           0
     182Martha, Sullivan                                                                MSULLIVA                 650.507.9878        06/21/2007 00:00:00SH_CLERK     2500.00*        120    50        2500           0
     183Girard, Geoni                                                                   GGEONI                   650.507.9879        02/03/2008 00:00:00SH_CLERK     2800.00*        120    50        2800           0
     184Nandita, Sarchand                                                               NSARCHAN                 650.509.1876        01/27/2004 00:00:00SH_CLERK     4200.00*        121    50        4200           0
     185Alexis, Bull                                                                    ABULL                    650.509.2876        02/20/2005 00:00:00SH_CLERK     4100.00*        121    50        4100           0
     186Julia, Dellinger                                                                JDELLING                 650.509.3876        06/24/2006 00:00:00SH_CLERK     3400.00*        121    50        3400           0
     187Anthony, Cabrio                                                                 ACABRIO                  650.509.4876        02/07/2007 00:00:00SH_CLERK     3000.00*        121    50        3000           0
     188Kelly, Chung                                                                    KCHUNG                   650.505.1876        06/14/2005 00:00:00SH_CLERK     3800.00*        122    50        3800           0
     189Jennifer, Dilly                                                                 JDILLY                   650.505.2876        08/13/2005 00:00:00SH_CLERK     3600.00*        122    50        3600           0
     190Timothy, Gates                                                                  TGATES                   650.505.3876        07/11/2006 00:00:00SH_CLERK     2900.00*        122    50        2900           0
     191Randall, Perkins                                                                RPERKINS                 650.505.4876        12/19/2007 00:00:00SH_CLERK     2500.00*        122    50        2500           0
     192Sarah, Bell                                                                     SBELL                    650.501.1876        02/04/2004 00:00:00SH_CLERK     4000.00*        123    50        4000           0
     193Britney, Everett                                                                BEVERETT                 650.501.2876        03/03/2005 00:00:00SH_CLERK     3900.00*        123    50        3900           0
     194Samuel, McCain                                                                  SMCCAIN                  650.501.3876        07/01/2006 00:00:00SH_CLERK     3200.00*        123    50        3200           0
     195Vance, Jones                                                                    VJONES                   650.501.4876        03/17/2007 00:00:00SH_CLERK     2800.00*        123    50        2800           0
     196Alana, Walsh                                                                    AWALSH                   650.507.9811        04/24/2006 00:00:00SH_CLERK     3100.00*        124    50        3100           0
     197Kevin, Feeney                                                                   KFEENEY                  650.507.9822        05/23/2006 00:00:00SH_CLERK     3000.00*        124    50        3000           0
     198Donald, OConnell                                                                DOCONNEL                 650.507.9833        06/21/2007 00:00:00SH_CLERK     2600.00*        124    50        2600           0
     199Douglas, Grant                                                                  DGRANT                   650.507.9844        01/13/2008 00:00:00SH_CLERK     2600.00*        124    50        2600           0
     200Jennifer, Whalen                                                                JWHALEN                  515.123.4444        09/17/2003 00:00:00AD_ASST      4400.00*        101    10        4400           0
     201Michael, Hartstein                                                              MHARTSTE                 515.123.5555        02/17/2004 00:00:00MK_MAN      13000.00*        100    20       13000           0
     202Pat, Fay                                                                        PFAY                     603.123.6666        08/17/2005 00:00:00MK_REP       6000.00*        201    20        6000           0
     203Susan, Mavris                                                                   SMAVRIS                  515.123.7777        06/07/2002 00:00:00HR_REP       6500.00*        101    40        6500           0
     204Hermann, Baer                                                                   HBAER                    515.123.8888        06/07/2002 00:00:00PR_REP      10000.00*        101    70       10000           0
     205Shelley, Higgins                                                                SHIGGINS                 515.123.8080        06/07/2002 00:00:00AC_MGR      12008.00*        101   110       12008           0
     206William, Gietz                                                                  WGIETZ                   515.123.8181        06/07/2002 00:00:00AC_ACCOUNT   8300.00*        205   110        8300           0
